"","ID","survey","subam","subam_type","isolation","treatments","Anax","Berosus","Bidessonotus","Buenoa","Caenis","Callibaetis","Ceratopogonidae","Chaoborus","Chironominae","Copelatus","Culex","Curicta","Derovatellus","Elachistocleis.sp.","Erythrodiplax","Heterelmis","Hydrocanthus","Hypodessus","Laccophilus","Limnocoris","Liodessus","Microvelia","Notonecta","Orthemis","Oxyagrion","Pantala","Pelocoris","Physalaemos.nattereri","Progomphus","Rhantus","Scinax.sp.","Sigara","Tanypodinae","Thermonectus","Tholymis","Tropisternus"
"B034","B03","2","1","center","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0
"B044","B04","2","1","center","120","control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"B054","B05","2","1","center","120","pasture",0,1,0,0,1,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,27,0,0,0,0,0
"B064","B06","2","1","center","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0
"B074","B07","2","1","center","120","control",0,1,0,0,0,1,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,3,0,0,0,0,0
"B084","B08","2","1","center","120","pasture",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,42,0,0,0,0,0,0,0,0
"B094","B09","2","1","center","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"B104","B10","2","1","center","120","control",0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"B114","B11","2","1","center","120","pasture",0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0
"B124","B12","2","1","center","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
